Universities,state_code,States,Regions,Latitude,Longitude
Villanova University,PA,Pennsylvania,Northeast,40.035772,-75.340222
Centre College,KY,Kentucky,South,37.645102,-84.779175
Johns Hopkins University,MD,Maryland,South,39.329808,-76.620723
University of Wisconsin-Madison,WI,Wisconsin,Midwest,43.073858,-89.405356
Dartmouth College,NH,New Hampshire,Northeast,43.705524,-72.288842
Purdue University,IN,Indiana,Midwest,40.4237,-86.9212
San Diego State University,CA,California,West,32.77525,-117.071228
Michigan State University,MI,Michigan,Midwest,42.72476,-84.473639
Butler University,IN,Indiana,Midwest,39.840167,-86.170687
Indiana University,IN,Indiana,Midwest,39.4714,-87.4083
"University of California, Berkeley",CA,California,West,37.8719,-122.2585
University of Missouri,MO,Missouri,Midwest,38.9404,-92.3277
Texas Christian University,TX,Texas,South,32.709568,-97.361537
Truman State University,MO,Missouri,Midwest,40.188267,-92.581658
University of Illinois,IL,Illinois,Midwest,40.102,-88.2272
University of Washington,WA,Washington,West,47.655548,-122.3032
University of North Carolina,NC,North Carolina,South,35.9049,-79.0469
Miami University (Ohio),OH,Ohio,Midwest,39.5087,-84.7345
"University of California, Los Angeles",CA,California,West,34.0689,-118.4452
Wilfred Laurier University,Others,Others,Others,Others,Others
University of California Riverside,CA,California,West,33.9737,-117.3281
University of Iowa,IA,Iowa,Midwest,41.660695,-91.535698
University of California Irvine,CA,California,West,33.6405,-117.8443
"University of California, Davis",CA,California,West,38.5382,-121.7617
University of Waterloo,Others,Others,Others,Others,Others
Grand Valley State University,MI,Michigan,Midwest,42.965208,-85.887519
Baylor University,TX,Texas,South,31.54615,-97.118453
Southern Methodist University,TX,Texas,South,32.845254,-96.784855
Blinn College,TX,Texas,South,30.159713,-96.409677
Texas A&M University,TX,Texas,South,30.6187,-96.3365
Wellesley College,MA,Massachusetts,Northeast,42.293741,-71.306657
Central Washington University,WA,Washington,West,47.005005,-120.537769
Stellenbosch University,Others,Others,Others,Others,Others
Universidad Nacional de Costa Rica,Others,Others,Others,Others,Others
Kennesaw State University,GA,Georgia,South,34.03629,-84.58083
Newcastle University,Others,Others,Others,Others,Others
University of West Georgia ,GA,Georgia,South,33.5753,-85.1041
Azusa Pacific University,CA,California,West,34.13057,-117.888312
University of Connecticut,CT,Connecticut,Northeast,41.807658,-72.256961
Boston University,MA,Massachusetts,Northeast,42.349581,-71.09984
Colorado State University,CO,Colorado,West,40.5734,-105.0865
Clemson University,SC,South Carolina,South,34.677329,-82.834463
University of Rochester,NY,New York,Northeast,43.126397,-77.631202
James Madison University,VA,Virginia,South,38.435332,-78.871663
Stephen F. Austin State University,TX,Texas,South,31.6216,-94.6466
Loyola University Maryland,MD,Maryland,South,39.346044,-76.623417
Michigan Technological University,MI,Michigan,Midwest,47.1183,-88.546403
Texas State University,TX,Texas,South,29.8884,-97.9384
University of Tennessee at Chattanooga,TN,Tennessee,South,35.0459,-85.2953
Seton Hall University,NJ,New Jersey,Northeast,40.742859,-74.248753
Roger Williams University,RI,Rhode Island,Northeast,41.648209,-71.260561
Elon University,NC,North Carolina,South,36.104149,-79.505632
Emily Carr University of Art and Design,Others,Others,Others,Others,Others
United States Military Academy,NY,New York,Northeast,41.390882,-73.956804
Indiana University of Pennsylvania,PA,Pennsylvania,Northeast,40.6144,-79.161
University of Tampa,FL,Florida,South,27.9469,-82.4672
Essex Technical High School,MA,Massachusetts,Northeast,42.5916,-70.9787
University of North Carolina at Greensboro,NC,North Carolina,South,36.067503,-79.809844
Pinnacle High School,AZ,Arizona,West,33.6795,-112.0078
Baltimore City College,MD,Maryland,South,39.3257,-76.5969
New York University,NY,New York,Northeast,40.729452,-73.997264
Indiana University-Purdue University Indianapolis,IN,Indiana,Midwest,39.775,-86.1773
Loyola Marymount University,CA,California,West,33.970855,-118.415745
University of Dayton,OH,Ohio,Midwest,39.740464,-84.179789
UMass Amherst,MA,Massachusetts,Northeast,42.3868,-72.5301
Brock University,Others,Others,Others,Others,Others
Kutztown University,PA,Pennsylvania,Northeast,40.5101,-75.7834
University of Mississippi,MS,Mississippi,South,34.363438,-89.537169
University of Mount Union,OH,Ohio,Midwest,40.904713,-81.108457
Duke University,NC,North Carolina,South,36.002344,-78.938597
Shippensburg University,PA,Pennsylvania,Northeast,40.0609,-77.5217
